1|CSE|Victor|79|80|99|89|347|86.75
3|ECE|Natalie|76|39|95|78|288|72.00
4|EEE|Amanda|76|58|75|99|308|77.00
5|CIVIL70|Michel|70|51|49|97|267|66.75
6|ECE|Andrea|86|43|88|72|289|72.25
7|CSE|Chloe|67|59|60|82|268|67.00
8|ISE|Lily|98|82|72|76|328|82.00
9|ECE|Carol|62|42|46|95|245|61.25
10|EEE|Jan|91|74|77|95|337|84.25
11|CIVIL90|Pippa|90|67|66|89|312|78.00
12|ECE|Jan|96|66|38|93|293|73.25
13|CSE|Carol|89|48|75|93|305|76.25
14|ISE|Jasmin|73|49|59|94|275|68.75
15|ECE|Victor|64|47|74|82|267|66.75
16|EEE|Molly|78|44|92|77|291|72.75
17|CIVIL71|Chloe|71|83|35|81|270|67.50
18|ECE|Anne|99|76|51|86|312|78.00
19|CSE|Heath|77|68|97|78|320|80.00
20|ISE|Eliz|97|70|46|77|290|72.50
21|ECE|Bernda|96|46|38|94|274|68.50
22|EEE|Faith|70|72|48|71|261|65.25
23|CIVIL86|Grace|86|81|92|93|352|88.00
24|ECE|Dorothy|88|55|53|96|292|73.00
25|CSE|Olivia|66|36|89|76|267|66.75
26|ISE|Jessica|62|39|90|95|286|71.50
27|ECE|Carol|68|41|67|71|247|61.75
28|EEE|Jasmin|91|51|91|73|306|76.50
29|CIVIL69|Wendy|69|38|91|92|290|72.50
30|ECE|Sophie|98|79|48|89|314|78.50
31|CSE|Molly|69|88|87|75|319|79.75
32|ISE|Rose|62|84|49|76|271|67.75
33|ECE|Penel|95|85|57|74|311|77.75
34|EEE|Diane|86|58|89|86|319|79.75
35|CIVIL63|Sue|63|71|71|78|283|70.75
36|ECE|Wendy|76|71|84|71|302|75.50
37|CSE|Claire|76|45|37|76|234|58.50
38|ISE|Hannah|88|55|59|82|284|71.00
39|ECE|Eliz|77|39|85|75|276|69.00
40|EEE|Una|79|38|40|77|234|58.50
41|CIVIL73|Jane|73|75|92|80|320|80.00
42|ECE|Jasmin|87|90|82|99|358|89.50
43|CSE|Karen|77|72|89|72|310|77.50
44|ISE|Carolyn|87|74|93|71|325|81.25
45|ECE|Penel|79|51|66|79|275|68.75
46|EEE|Leah|68|49|41|73|231|57.75
47|CIVIL95|Sally|95|35|48|80|258|64.50
48|ECE|Lily|89|76|43|73|281|70.25
49|CSE|Emily|71|43|70|83|267|66.75
50|ISE|Faith|87|87|49|79|302|75.50
51|ECE|Heather|77|54|44|73|248|62.00
52|EEE|Mary|77|47|73|92|289|72.25
53|CIVIL65|Mary|65|35|68|82|250|62.50
54|ECE|Dorothy|93|40|39|76|248|62.00
55|CSE|Caroline|81|37|59|99|276|69.00
56|ISE|Amanda|98|65|87|88|338|84.50
57|ECE|Angela|82|79|67|83|311|77.75
58|EEE|Heather|94|55|93|97|339|84.75
59|CIVIL63|Amy|63|74|57|89|283|70.75
60|ECE|Carol|82|63|75|74|294|73.50
61|CSE|Eliza|66|36|58|78|238|59.50
62|ISE|Maria|76|35|62|70|243|60.75
63|ECE|Lauren|79|46|90|80|295|73.75
64|EEE|Michel|87|76|46|77|286|71.50
65|CIVIL90|Olivia|90|51|97|76|314|78.50
66|ECE|Heather|60|57|40|94|251|62.75
67|CSE|Dorothy|94|45|42|95|276|69.00
68|ISE|Sonia|91|55|63|82|291|72.75
69|ECE|Diana|92|48|82|94|316|79.00
70|EEE|Alison|70|51|45|79|245|61.25
71|CIVIL79|Fiona|79|70|41|84|274|68.50
72|ECE|Chloe|67|90|36|92|285|71.25
73|CSE|Jenni|94|82|46|97|319|79.75
74|ISE|Felici|66|35|45|91|237|59.25
75|ECE|Andrea|85|49|89|83|306|76.50
76|EEE|Wanda|64|65|80|87|296|74.00
77|CIVIL67|Fiona|67|53|99|93|312|78.00
78|ECE|Angela|96|81|86|92|355|88.75
79|CSE|Diana|82|86|84|89|341|85.25
80|ISE|Kimber|73|71|85|89|318|79.50
81|ECE|Pippa|96|89|76|77|338|84.50
82|EEE|Joan|85|49|56|84|274|68.50
83|CIVIL61|Pippa|61|47|52|95|255|63.75
84|ECE|Angela|96|68|95|82|341|85.25
85|CSE|Pippa|61|88|82|94|325|81.25
86|ISE|Michel|74|74|41|93|282|70.50
87|ECE|Anna|72|47|98|79|296|74.00
88|EEE|Una|71|64|51|88|274|68.50
89|CIVIL80|Faith|80|89|79|70|318|79.50
90|ECE|Emily|69|66|67|82|284|71.00
91|CSE|Sonia|72|40|64|71|247|61.75
92|ISE|Amelia|65|59|71|77|272|68.00
93|ECE|Rachel|83|82|41|81|287|71.75
94|EEE|Virgi|75|78|86|82|321|80.25
95|CIVIL99|Anne|99|85|51|93|328|82.00
96|ECE|Penel|95|53|81|71|300|75.00
97|CSE|Carol|86|74|84|94|338|84.50
98|ISE|Audrey|74|41|77|88|280|70.00
99|ECE|Una|89|35|97|82|303|75.75
100|EEE|Yvonne|60|47|47|72|226|56.50
101|CIVIL65|Donna|65|89|40|78|272|68.00
102|ECE|Miche|67|77|55|95|294|73.50
103|CSE|Nicola|69|63|60|87|279|69.75
104|ISE|Joan|80|67|84|77|308|77.00
105|ECE|Felici|81|81|96|70|328|82.00
106|EEE|Mary|66|90|72|75|303|75.75
107|CIVIL65|Yvonne|65|48|79|97|289|72.25
108|ECE|Dorothy|70|61|56|94|281|70.25
109|CSE|Diane|78|69|41|97|285|71.25
110|ISE|Jessica|65|48|93|88|294|73.50
111|ECE|Rose|86|47|73|94|300|75.00
112|EEE|Rachel|89|78|60|83|310|77.50
